,Частота
делом,2
желанием,2
исполнением,2
вас,11
приглашу,3
келью,2
полную,2
книг,4
бумаге,1
произошло,1
назад,3
воробьи,2
чирикают,1
подошве,1
лужам,1
листьям,2
углубляясь,2
туннели,1
декабря,2
становятся,4
собранней,1
боятся,1
навсегда,3
исчезаю,7
весне,7
толпе,3
лужах,2
синеве,2
ищите,2
ласточки,2
проводах,1
балконах,1
маляры,1
штукатурщицы,1
заглядывают,1
ко,7
отчего,2
поздно,1
просыпаюсь,1
окружен,1
книгами,1
часами,1
все-таки,6
водителем,1
троллейбуса,1
вместо,3
названий,1
остановок,1
буду,2
читать,4
свои,5
старый,1
рембрандт,1
подозревает,1
рвется,2
подкладка,1
мог,3
запросто,2
жить,2
этот,17
странный,3
обычай,2
присваивать,1
имена,1
номера,1
уйду,1
разве,3
найдут,1
незримый,2
разъяренный,1
зверь,1
рычит,1
темноте,1
ночных,1
аэродромов,1
требует,1
властно,1
нашей,5
плоти,2
нервов,1
поисках,2
забрел,1
помине,1
узбека,1
снимают,1
ботинки,1
комнате,5
вонь,1
наподобие,1
удушливого,1
газа,1
прошел,4
роз,1
центральном,1
базаре,1
бухарские,2
аисты,4
добрые,2
базаром,1
чайханой,1
чай,1
белые-белые,1
посидев,2
коврах,2
потянув,1
пиалу,1
пиалой,1
побежишь,1
изобретать,1
ракету,1
зато,3
погрузишься,1
дремоту,1
невзначай,1
прикоснешься,1
моторы,2
собранные,1
одно,15
отличить,1
работу,5
уголовника,1
работы,7
вхожу,2
эстонию,4
опаской,2
море,3
долго,8
вдалеке,1
чудо,3
волны,2
подхватывают,1
доверяю,2
чистейшему,1
звуку,2
мечту,2
судьбу,1
устаю,1
единственной,1
тролейбусы,1
кони,1
спят,1
ногах,1
уединенная,1
улочка,1
сновидений,1
троллейбусов,1
дорога,3
храню,2
разных,6
уголках,1
дай,2
бог,6
вы,30
встретились,2
бездомная,2
собака,2
приноравливается,1
ходьбе,1
вид,4
невидимом,1
поводке,2
отворачивается,1
постепенно,4
отстает,1
пустыре,3
то,55
дело,5
возникают,3
отрешенные,2
фигуры,2
гуляющих,2
собаками,2
спасибо,4
вам,10
псы,2
выволакивающие,2
суеты,2
при,14
важничал,1
скромный,2
незаметный,1
лежа,1
гробу,1
него,11
согбенного,1
обнаружился,1
орлиный,1
профиль,1
схожий,1
теми,5
чеканят,1
монетах,1
далеко,4
опрокинутом,1
бинокле,1
живет,5
мама,5
деревянном,6
доме,7
возвращается,1
вечером,5
холодную,1
комнату,9
привычно,1
пошарив,1
пустом,1
почтовом,1
ящике,1
вешая,4
пеленки,5
балконе,2
останавливаешься,2
ошеломленный,2
мирозданием,2
кончиков,3
пальцев,3
мерцает,3
звезда,6
н,11
м,6
кончается,4
ледниковый,2
период,9
скажи,1
дыханием,3
растопить,1
айсберги,1
июльских,4
травах,4
еле,5
мелькают,2
звонко,2
хохочет,2
малыш,2
золотое,4
облачко,3
поплыло,2
окна,2
засветлели,2
стены,5
комнаты,2
крылечке,2
женушка,2
взять,5
заполняющих,1
площади,1
каждого,1
бабочкой,2
оконными,1
рамами,1
бьется,1
добрый,4
такого,5
живо,3
слопают,2
бульдожью,1
хватку,1
вывожу,1
гулять,1
пес,2
грациозно,1
поднимает,1
лапу,1
скрипач,1
смычок,1
польются,1
дивно,1
звуки,2
полнокровный,1
современник,2
зубаст,1
мордаст,1
клыкаст,1
годовые,10
кольца,10
толпой,4
перекошенными,2
лицами,2
работая,3
